mZd (GeV)	Epsilon		GammaZd (GeV)		ctau (mm)
5		9e-06		6.70680e-12		0.029
6		1e-08		9.99000e-18		19752.753
6		2e-08		3.99600e-17		4938.188
6		3e-08		8.99100e-17		2194.750
6		4e-08		1.59840e-16		1234.547
6		5e-08		2.49750e-16		790.110
6		6e-08		3.59640e-16		548.688
6		7e-08		4.89510e-16		403.117
6		8e-08		6.39360e-16		308.637
6		9e-08		8.09190e-16		243.861
6		1e-07		9.99000e-16		197.528
6		2e-07		3.99600e-15		49.382
6		3e-07		8.99100e-15		21.948
6		4e-07		1.59840e-14		12.345
6		5e-07		2.49750e-14		7.901
6		6e-07		3.59640e-14		5.487
6		7e-07		4.89510e-14		4.031
6		8e-07		6.39360e-14		3.086
6		9e-07		8.09190e-14		2.439
6		1e-06		9.99000e-14		1.975
6		2e-06		3.99600e-13		0.494
6		3e-06		8.99100e-13		0.219
6		4e-06		1.59840e-12		0.123
6		5e-06		2.49750e-12		0.079
6		6e-06		3.59640e-12		0.055
6		7e-06		4.89510e-12		0.040
6		8e-06		6.39360e-12		0.031
6		9e-06		8.09190e-12		0.024
7		1e-08		1.22000e-17		16174.590
7		2e-08		4.88000e-17		4043.648
7		3e-08		1.09800e-16		1797.177
7		4e-08		1.95200e-16		1010.912
7		5e-08		3.05000e-16		646.984
7		6e-08		4.39200e-16		449.294
7		7e-08		5.97800e-16		330.094
7		8e-08		7.80800e-16		252.728
7		9e-08		9.88200e-16		199.686
7		1e-07		1.22000e-15		161.746
7		2e-07		4.88000e-15		40.436
7		3e-07		1.09800e-14		17.972
7		4e-07		1.95200e-14		10.109
7		5e-07		3.05000e-14		6.470
7		6e-07		4.39200e-14		4.493
7		7e-07		5.97800e-14		3.301
7		8e-07		7.80800e-14		2.527
7		9e-07		9.88200e-14		1.997
7		1e-06		1.22000e-13		1.617
7		2e-06		4.88000e-13		0.404
7		3e-06		1.09800e-12		0.180
7		4e-06		1.95200e-12		0.101
7		5e-06		3.05000e-12		0.065
7		6e-06		4.39200e-12		0.045
7		7e-06		5.97800e-12		0.033
7		8e-06		7.80800e-12		0.025
7		9e-06		9.88200e-12		0.020
8		1e-08		1.39000e-17		14196.403
8		2e-08		5.56000e-17		3549.101
8		3e-08		1.25100e-16		1577.378
8		4e-08		2.22400e-16		887.275
8		5e-08		3.47500e-16		567.856
8		6e-08		5.00400e-16		394.345
8		7e-08		6.81100e-16		289.723
8		8e-08		8.89600e-16		221.819
8		9e-08		1.12590e-15		175.264
8		1e-07		1.39000e-15		141.964
8		2e-07		5.56000e-15		35.491
8		3e-07		1.25100e-14		15.774
8		4e-07		2.22400e-14		8.873
8		5e-07		3.47500e-14		5.679
8		6e-07		5.00400e-14		3.943
8		7e-07		6.81100e-14		2.897
8		8e-07		8.89600e-14		2.218
8		9e-07		1.12590e-13		1.753
8		1e-06		1.39000e-13		1.420
8		2e-06		5.56000e-13		0.355
8		3e-06		1.25100e-12		0.158
8		4e-06		2.22400e-12		0.089
8		5e-06		3.47500e-12		0.057
8		6e-06		5.00400e-12		0.039
8		7e-06		6.81100e-12		0.029
8		8e-06		8.89600e-12		0.022
8		9e-06		1.12590e-11		0.018
9		1e-08		1.56000e-17		12649.359
9		2e-08		6.24000e-17		3162.340
9		3e-08		1.40400e-16		1405.484
9		4e-08		2.49600e-16		790.585
9		5e-08		3.90000e-16		505.974
9		6e-08		5.61600e-16		351.371
9		7e-08		7.64400e-16		258.150
9		8e-08		9.98400e-16		197.646
9		9e-08		1.26360e-15		156.165
9		1e-07		1.56000e-15		126.494
9		2e-07		6.24000e-15		31.623
9		3e-07		1.40400e-14		14.055
9		4e-07		2.49600e-14		7.906
9		5e-07		3.90000e-14		5.060
9		6e-07		5.61600e-14		3.514
9		7e-07		7.64400e-14		2.582
9		8e-07		9.98400e-14		1.976
9		9e-07		1.26360e-13		1.562
9		1e-06		1.56000e-13		1.265
9		2e-06		6.24000e-13		0.316
9		3e-06		1.40400e-12		0.141
9		4e-06		2.49600e-12		0.079
9		5e-06		3.90000e-12		0.051
9		6e-06		5.61600e-12		0.035
9		7e-06		7.64400e-12		0.026
9		8e-06		9.98400e-12		0.020
9		9e-06		1.26360e-11		0.016
