dataset,fragment,events,generator
BToPhi_MPhi-0p6_ctau-100mm_TuneCP5_13p6TeV_pythia8,genFragments/Generator/Pythia/BToLLPhi/13p6TeV/BToPhi_MPhi-0p6_ctau-100mm_TuneCP5_13p6TeV-pythia8_cfi.py,300000,pythia8
BToPhi_MPhi-0p7_ctau-0p0mm_TuneCP5_13p6TeV_pythia8,genFragments/Generator/Pythia/BToLLPhi/13p6TeV/BToPhi_MPhi-0p7_ctau-0p0mm_TuneCP5_13p6TeV-pythia8_cfi.py,300000,pythia8
BToPhi_MPhi-0p7_ctau-0p1mm_TuneCP5_13p6TeV_pythia8,genFragments/Generator/Pythia/BToLLPhi/13p6TeV/BToPhi_MPhi-0p7_ctau-0p1mm_TuneCP5_13p6TeV-pythia8_cfi.py,300000,pythia8
BToPhi_MPhi-0p7_ctau-1mm_TuneCP5_13p6TeV_pythia8,genFragments/Generator/Pythia/BToLLPhi/13p6TeV/BToPhi_MPhi-0p7_ctau-1mm_TuneCP5_13p6TeV-pythia8_cfi.py,300000,pythia8
BToPhi_MPhi-0p7_ctau-10mm_TuneCP5_13p6TeV_pythia8,genFragments/Generator/Pythia/BToLLPhi/13p6TeV/BToPhi_MPhi-0p7_ctau-10mm_TuneCP5_13p6TeV-pythia8_cfi.py,300000,pythia8
BToPhi_MPhi-0p7_ctau-100mm_TuneCP5_13p6TeV_pythia8,genFragments/Generator/Pythia/BToLLPhi/13p6TeV/BToPhi_MPhi-0p7_ctau-100mm_TuneCP5_13p6TeV-pythia8_cfi.py,300000,pythia8
BToPhi_MPhi-0p9_ctau-0p0mm_TuneCP5_13p6TeV_pythia8,genFragments/Generator/Pythia/BToLLPhi/13p6TeV/BToPhi_MPhi-0p9_ctau-0p0mm_TuneCP5_13p6TeV-pythia8_cfi.py,300000,pythia8
BToPhi_MPhi-0p9_ctau-0p1mm_TuneCP5_13p6TeV_pythia8,genFragments/Generator/Pythia/BToLLPhi/13p6TeV/BToPhi_MPhi-0p9_ctau-0p1mm_TuneCP5_13p6TeV-pythia8_cfi.py,300000,pythia8
BToPhi_MPhi-0p9_ctau-1mm_TuneCP5_13p6TeV_pythia8,genFragments/Generator/Pythia/BToLLPhi/13p6TeV/BToPhi_MPhi-0p9_ctau-1mm_TuneCP5_13p6TeV-pythia8_cfi.py,300000,pythia8
BToPhi_MPhi-0p9_ctau-10mm_TuneCP5_13p6TeV_pythia8,genFragments/Generator/Pythia/BToLLPhi/13p6TeV/BToPhi_MPhi-0p9_ctau-10mm_TuneCP5_13p6TeV-pythia8_cfi.py,300000,pythia8
BToPhi_MPhi-0p9_ctau-100mm_TuneCP5_13p6TeV_pythia8,genFragments/Generator/Pythia/BToLLPhi/13p6TeV/BToPhi_MPhi-0p9_ctau-100mm_TuneCP5_13p6TeV-pythia8_cfi.py,300000,pythia8
