dataset,fragment,events,generator
BToPhi_MPhi-1p25_ctau-0p0mm_TuneCP5_13p6TeV_pythia8,genFragments/Generator/Pythia/BToLLPhi/13p6TeV/BToPhi_MPhi-1p25_ctau-0p0mm_TuneCP5_13p6TeV-pythia8_cfi.py,300000,pythia8
BToPhi_MPhi-1p25_ctau-0p1mm_TuneCP5_13p6TeV_pythia8,genFragments/Generator/Pythia/BToLLPhi/13p6TeV/BToPhi_MPhi-1p25_ctau-0p1mm_TuneCP5_13p6TeV-pythia8_cfi.py,300000,pythia8
BToPhi_MPhi-1p25_ctau-1mm_TuneCP5_13p6TeV_pythia8,genFragments/Generator/Pythia/BToLLPhi/13p6TeV/BToPhi_MPhi-1p25_ctau-1mm_TuneCP5_13p6TeV-pythia8_cfi.py,300000,pythia8
BToPhi_MPhi-1p25_ctau-10mm_TuneCP5_13p6TeV_pythia8,genFragments/Generator/Pythia/BToLLPhi/13p6TeV/BToPhi_MPhi-1p25_ctau-10mm_TuneCP5_13p6TeV-pythia8_cfi.py,300000,pythia8
BToPhi_MPhi-1p25_ctau-100mm_TuneCP5_13p6TeV_pythia8,genFragments/Generator/Pythia/BToLLPhi/13p6TeV/BToPhi_MPhi-1p25_ctau-100mm_TuneCP5_13p6TeV-pythia8_cfi.py,300000,pythia8
BToPhi_MPhi-1p5_ctau-0p0mm_TuneCP5_13p6TeV_pythia8,genFragments/Generator/Pythia/BToLLPhi/13p6TeV/BToPhi_MPhi-1p5_ctau-0p0mm_TuneCP5_13p6TeV-pythia8_cfi.py,300000,pythia8
BToPhi_MPhi-1p5_ctau-0p1mm_TuneCP5_13p6TeV_pythia8,genFragments/Generator/Pythia/BToLLPhi/13p6TeV/BToPhi_MPhi-1p5_ctau-0p1mm_TuneCP5_13p6TeV-pythia8_cfi.py,300000,pythia8
BToPhi_MPhi-1p5_ctau-1mm_TuneCP5_13p6TeV_pythia8,genFragments/Generator/Pythia/BToLLPhi/13p6TeV/BToPhi_MPhi-1p5_ctau-1mm_TuneCP5_13p6TeV-pythia8_cfi.py,300000,pythia8
BToPhi_MPhi-1p5_ctau-10mm_TuneCP5_13p6TeV_pythia8,genFragments/Generator/Pythia/BToLLPhi/13p6TeV/BToPhi_MPhi-1p5_ctau-10mm_TuneCP5_13p6TeV-pythia8_cfi.py,300000,pythia8
BToPhi_MPhi-1p5_ctau-100mm_TuneCP5_13p6TeV_pythia8,genFragments/Generator/Pythia/BToLLPhi/13p6TeV/BToPhi_MPhi-1p5_ctau-100mm_TuneCP5_13p6TeV-pythia8_cfi.py,300000,pythia8
BToPhi_MPhi-2p0_ctau-0p0mm_TuneCP5_13p6TeV_pythia8,genFragments/Generator/Pythia/BToLLPhi/13p6TeV/BToPhi_MPhi-2p0_ctau-0p0mm_TuneCP5_13p6TeV-pythia8_cfi.py,300000,pythia8
BToPhi_MPhi-2p0_ctau-0p1mm_TuneCP5_13p6TeV_pythia8,genFragments/Generator/Pythia/BToLLPhi/13p6TeV/BToPhi_MPhi-2p0_ctau-0p1mm_TuneCP5_13p6TeV-pythia8_cfi.py,300000,pythia8
BToPhi_MPhi-2p0_ctau-1mm_TuneCP5_13p6TeV_pythia8,genFragments/Generator/Pythia/BToLLPhi/13p6TeV/BToPhi_MPhi-2p0_ctau-1mm_TuneCP5_13p6TeV-pythia8_cfi.py,300000,pythia8
BToPhi_MPhi-2p0_ctau-10mm_TuneCP5_13p6TeV_pythia8,genFragments/Generator/Pythia/BToLLPhi/13p6TeV/BToPhi_MPhi-2p0_ctau-10mm_TuneCP5_13p6TeV-pythia8_cfi.py,300000,pythia8
BToPhi_MPhi-2p0_ctau-100mm_TuneCP5_13p6TeV_pythia8,genFragments/Generator/Pythia/BToLLPhi/13p6TeV/BToPhi_MPhi-2p0_ctau-100mm_TuneCP5_13p6TeV-pythia8_cfi.py,300000,pythia8
BToPhi_MPhi-2p85_ctau-0p0mm_TuneCP5_13p6TeV_pythia8,genFragments/Generator/Pythia/BToLLPhi/13p6TeV/BToPhi_MPhi-2p85_ctau-0p0mm_TuneCP5_13p6TeV-pythia8_cfi.py,300000,pythia8
BToPhi_MPhi-2p85_ctau-0p1mm_TuneCP5_13p6TeV_pythia8,genFragments/Generator/Pythia/BToLLPhi/13p6TeV/BToPhi_MPhi-2p85_ctau-0p1mm_TuneCP5_13p6TeV-pythia8_cfi.py,300000,pythia8
BToPhi_MPhi-2p85_ctau-1mm_TuneCP5_13p6TeV_pythia8,genFragments/Generator/Pythia/BToLLPhi/13p6TeV/BToPhi_MPhi-2p85_ctau-1mm_TuneCP5_13p6TeV-pythia8_cfi.py,300000,pythia8
BToPhi_MPhi-2p85_ctau-10mm_TuneCP5_13p6TeV_pythia8,genFragments/Generator/Pythia/BToLLPhi/13p6TeV/BToPhi_MPhi-2p85_ctau-10mm_TuneCP5_13p6TeV-pythia8_cfi.py,300000,pythia8
BToPhi_MPhi-2p85_ctau-100mm_TuneCP5_13p6TeV_pythia8,genFragments/Generator/Pythia/BToLLPhi/13p6TeV/BToPhi_MPhi-2p85_ctau-100mm_TuneCP5_13p6TeV-pythia8_cfi.py,300000,pythia8
BToPhi_MPhi-3p35_ctau-0p0mm_TuneCP5_13p6TeV_pythia8,genFragments/Generator/Pythia/BToLLPhi/13p6TeV/BToPhi_MPhi-3p35_ctau-0p0mm_TuneCP5_13p6TeV-pythia8_cfi.py,300000,pythia8
BToPhi_MPhi-3p35_ctau-0p1mm_TuneCP5_13p6TeV_pythia8,genFragments/Generator/Pythia/BToLLPhi/13p6TeV/BToPhi_MPhi-3p35_ctau-0p1mm_TuneCP5_13p6TeV-pythia8_cfi.py,300000,pythia8
BToPhi_MPhi-3p35_ctau-1mm_TuneCP5_13p6TeV_pythia8,genFragments/Generator/Pythia/BToLLPhi/13p6TeV/BToPhi_MPhi-3p35_ctau-1mm_TuneCP5_13p6TeV-pythia8_cfi.py,300000,pythia8
BToPhi_MPhi-3p35_ctau-10mm_TuneCP5_13p6TeV_pythia8,genFragments/Generator/Pythia/BToLLPhi/13p6TeV/BToPhi_MPhi-3p35_ctau-10mm_TuneCP5_13p6TeV-pythia8_cfi.py,300000,pythia8
BToPhi_MPhi-3p35_ctau-100mm_TuneCP5_13p6TeV_pythia8,genFragments/Generator/Pythia/BToLLPhi/13p6TeV/BToPhi_MPhi-3p35_ctau-100mm_TuneCP5_13p6TeV-pythia8_cfi.py,300000,pythia8
BToPhi_MPhi-4p0_ctau-0p0mm_TuneCP5_13p6TeV_pythia8,genFragments/Generator/Pythia/BToLLPhi/13p6TeV/BToPhi_MPhi-4p0_ctau-0p0mm_TuneCP5_13p6TeV-pythia8_cfi.py,300000,pythia8
BToPhi_MPhi-4p0_ctau-0p1mm_TuneCP5_13p6TeV_pythia8,genFragments/Generator/Pythia/BToLLPhi/13p6TeV/BToPhi_MPhi-4p0_ctau-0p1mm_TuneCP5_13p6TeV-pythia8_cfi.py,300000,pythia8
BToPhi_MPhi-4p0_ctau-1mm_TuneCP5_13p6TeV_pythia8,genFragments/Generator/Pythia/BToLLPhi/13p6TeV/BToPhi_MPhi-4p0_ctau-1mm_TuneCP5_13p6TeV-pythia8_cfi.py,300000,pythia8
BToPhi_MPhi-4p0_ctau-10mm_TuneCP5_13p6TeV_pythia8,genFragments/Generator/Pythia/BToLLPhi/13p6TeV/BToPhi_MPhi-4p0_ctau-10mm_TuneCP5_13p6TeV-pythia8_cfi.py,300000,pythia8
BToPhi_MPhi-4p0_ctau-100mm_TuneCP5_13p6TeV_pythia8,genFragments/Generator/Pythia/BToLLPhi/13p6TeV/BToPhi_MPhi-4p0_ctau-100mm_TuneCP5_13p6TeV-pythia8_cfi.py,300000,pythia8
BToPhi_MPhi-5p0_ctau-0p0mm_TuneCP5_13p6TeV_pythia8,genFragments/Generator/Pythia/BToLLPhi/13p6TeV/BToPhi_MPhi-5p0_ctau-0p0mm_TuneCP5_13p6TeV-pythia8_cfi.py,300000,pythia8
BToPhi_MPhi-5p0_ctau-0p1mm_TuneCP5_13p6TeV_pythia8,genFragments/Generator/Pythia/BToLLPhi/13p6TeV/BToPhi_MPhi-5p0_ctau-0p1mm_TuneCP5_13p6TeV-pythia8_cfi.py,300000,pythia8
BToPhi_MPhi-5p0_ctau-1mm_TuneCP5_13p6TeV_pythia8,genFragments/Generator/Pythia/BToLLPhi/13p6TeV/BToPhi_MPhi-5p0_ctau-1mm_TuneCP5_13p6TeV-pythia8_cfi.py,300000,pythia8
BToPhi_MPhi-5p0_ctau-10mm_TuneCP5_13p6TeV_pythia8,genFragments/Generator/Pythia/BToLLPhi/13p6TeV/BToPhi_MPhi-5p0_ctau-10mm_TuneCP5_13p6TeV-pythia8_cfi.py,300000,pythia8
BToPhi_MPhi-5p0_ctau-100mm_TuneCP5_13p6TeV_pythia8,genFragments/Generator/Pythia/BToLLPhi/13p6TeV/BToPhi_MPhi-5p0_ctau-100mm_TuneCP5_13p6TeV-pythia8_cfi.py,300000,pythia8
