mZd	ctau	XS_MUMU	XS_EE	XS_TAUTAU	XS_UUBAR	XS_DDBAR	XS_SSBAR	XS_CCBAR	XS_BBBAR	XS_MUNUMUNUBAR	XS_ENUENUBAR	XS_TAUNUTAUNUBAR
50.0	10	2.4218e-15	2.4218e-15	2.4214e-15	3.7623e-15	1.4326e-15	1.4326e-15	3.7616e-15	1.4248e-15	9.2147e-17	9.2147e-17	9.2147e-17
50.0	100	2.4183e-16	2.4183e-16	2.4180e-16	3.7414e-16	1.4106e-16	1.4106e-16	3.7408e-16	1.4031e-16	8.7447e-18	8.7447e-18	8.7447e-18
5.0	1	3.1182e-14	3.1183e-14	2.7474e-14	4.1616e-14	1.0435e-14	1.0435e-14	3.9777e-14	0.0000e+00	6.0130e-20	6.0130e-20	6.0130e-20
5.0	10	3.1175e-15	3.1176e-15	2.7468e-15	4.1607e-15	1.0432e-15	1.0432e-15	3.9768e-15	0.0000e+00	5.9533e-21	5.9533e-21	5.9533e-21
5.0	100	3.1173e-16	3.1173e-16	2.7466e-16	4.1546e-16	1.0374e-16	1.0374e-16	3.9710e-16	0.0000e+00	1.0041e-22	1.0041e-22	1.0041e-22
6.0	1	3.0988e-14	3.0988e-14	2.9346e-14	4.1374e-14	1.0387e-14	1.0387e-14	4.0529e-14	0.0000e+00	1.2036e-19	1.2036e-19	1.2036e-19
6.0	10	3.1000e-15	3.1000e-15	2.9358e-15	4.1383e-15	1.0383e-15	1.0383e-15	4.0537e-15	0.0000e+00	8.7113e-21	8.7113e-21	8.7113e-21
6.0	100	3.1000e-16	3.1000e-16	2.9358e-16	4.1468e-16	1.0467e-16	1.0467e-16	4.0620e-16	0.0000e+00	6.4317e-21	6.4317e-21	6.4317e-21
7.0	1	2.9635e-14	2.9635e-14	2.8822e-14	3.9589e-14	9.9540e-15	9.9540e-15	3.9162e-14	0.0000e+00	2.1486e-19	2.1486e-19	2.1486e-19
7.0	10	2.9630e-15	2.9630e-15	2.8817e-15	3.9588e-15	9.9580e-16	9.9580e-16	3.9161e-15	0.0000e+00	2.4854e-20	2.4854e-20	2.4854e-20
7.0	100	2.9633e-16	2.9633e-16	2.8820e-16	3.9574e-16	9.9410e-17	9.9410e-17	3.9147e-16	0.0000e+00	1.5105e-21	1.5105e-21	1.5105e-21
8.0	1	2.9697e-14	2.9697e-14	2.9230e-14	3.9695e-14	9.9985e-15	9.9985e-15	3.9448e-14	0.0000e+00	3.7303e-19	3.7303e-19	3.7303e-19
8.0	10	2.9720e-15	2.9721e-15	2.9254e-15	3.9706e-15	9.9860e-16	9.9860e-16	3.9459e-15	0.0000e+00	2.3548e-20	2.3548e-20	2.3548e-20
8.0	100	2.9672e-16	2.9672e-16	2.9207e-16	3.9514e-16	9.8420e-17	9.8420e-17	3.9268e-16	0.0000e+00	8.8590e-22	8.8590e-22	8.8590e-22
